app_id,app_pkg,category_name,data_safety_content,privacy_policy_content,label_one_s,label_two_s
1,statusimages.makephotostatus,"{'data_shared': [], 'data_collected': [], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'Data can?t be deleted', 'sub_info': []}]}","Data Share:
We permit third-party corporations to serve ads and gather specific anonymous information upon your visit to our application. These companies may utilize this anonymous information ? including your Google Advertising ID, device type and version, browsing habits, location, and other device-related technical data ? in order to serve advertisements.
Data Collect:
Our Applications, Services, and Site may access third-party information, such as your social media account information, through application interfaces. This policy, however, doesn't cover the privacy practices of websites operated by third parties, irrespective of whether they are linked to or accessible from our Application, Services, or Site. We are not accountable for their privacy practices.","{label 1: Incorrect, label 2: Incomplete}"
1,statusimages.makephotostatus,"{'data_shared': [], 'data_collected': [], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'Data can?t be deleted', 'sub_info': []}]}","Data Share:
We permit third-party corporations to serve ads and gather specific anonymous information upon your visit to our application. These companies may utilize this anonymous information ? including your Google Advertising ID, device type and version, browsing habits, location, and other device-related technical data ? in order to serve advertisements.
Data Collect:
Our Applications, Services, and Site may access third-party information, such as your social media account information, through application interfaces. This policy, however, doesn't cover the privacy practices of websites operated by third parties, irrespective of whether they are linked to or accessible from our Application, Services, or Site. We are not accountable for their privacy practices.","{label 1: Incorrect, label 2: Incomplete}"
2,fusion.developers.shirtdesign,"{'data_shared': [], 'data_collected': [], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'Data can?t be deleted', 'sub_info': []}]}","Data Share:
We may use personal information submitted by you to enhance our products and services quality. If non-personal information is combined with personal information, we treat the mixed information as personal data under this Privacy Policy.
Data Collect:
We DO NOT gather, keep or utilize any personal data when you visit, download or update our products. However, we may collect and use non-personal data in certain situations. We may collect details like application name, package name, installation data, usage frequency, country, computer, and channel. We may also collect usage data about the services you use.","{label 1: Incorrect, label 2: Incomplete}"
3,com.martianapps.birthdaycardmaker,"{'data_shared': [], 'data_collected': [], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'Data can?t be deleted', 'sub_info': []}]}","Data Share:
We may use personal information submitted by you to help us develop, deliver, and improve our products and services. If non-personal information is combined with personal information, we treat the combined information as personal information for the purposes of this Privacy Policy.
Data Collect:
We do not collect, store or use any of your personal information while visiting, downloading, or updating our apps. However, we do collect and use non-personal information such as the installed application's name, the package name, usage frequency, country, and device information, including the hardware model and operating system version.","{label 1: Incorrect, label 2: Complete}"
6,com.panalab.letters.pletter.Wallpaper,"{'data_shared': [], 'data_collected': [], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'Data can?t be deleted', 'sub_info': []}]}","Data Share: No content found in the policy that indicates sharing of data.
Data Collect: No content found in the policy depicting data collection.","{label 1: Correct, label 2: Incomplete}"
6,com.panalab.letters.pletter.Wallpaper,"{'data_shared': [], 'data_collected': [], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'Data can?t be deleted', 'sub_info': []}]}","Data Share: No content found in the policy that indicates sharing of data.
Data Collect: No content found in the policy depicting data collection.","{label 1: Correct, label 2: Incomplete}"
7,com.panalab.letters.zletter.Wallpaper,"{'data_shared': [], 'data_collected': [], 'security_practices': [{'category': 'Data is encrypted in transit', 'sub_info': []}, {'category': 'Data can?t be deleted', 'sub_info': []}]}","Data Share: This privacy policy regulates your use of the software application s [ panalab ]. It outlines the information that may be shared with other parties.
Data Collect: The policy further details the type of information collected through your use of the list of applications provided by panalab.","{label 1: Complete, label 2: Incomplete}"
31,net.nikkki.infinitezoom,"{'data_shared': [], 'data_collected': []}","Data Share:
The handling of in-app purchases is done through Google Play Services and their privacy policy applies to the processing of payment information. Google Play does not share contact or payment data of buyers with the app developer.
Data Collect:
The apps, Zoomquilt Live Wallpaper and Infinite Zoom Patterns Live Wallpaper, do not collect any personal data whatsoever.","{label 1: Incorrect, label 2: Complete}"
31,net.nikkki.infinitezoom,"{'data_shared': [], 'data_collected': []}","Data Share:
The handling of in-app purchases is done through Google Play Services and their privacy policy applies to the processing of payment information. Google Play does not share contact or payment data of buyers with the app developer.
Data Collect:
The apps, Zoomquilt Live Wallpaper and Infinite Zoom Patterns Live Wallpaper, do not collect any personal data whatsoever.","{label 1: Incorrect, label 2: Complete}"
33,com.stephaneginier.nomad,"{'data_shared': [], 'data_collected': []}","Data Share:
Nomad Sculpt, developed by Hexanomad as a commercial app, uses Google Analytics for traffic analysis. Data provided by Apple, Google, or Huawei to developers might also be utilized. Additionally, when users contact the team via email, their emails are retained for responses to concerns or suggestions only, not for marketing purposes.
Data Collect:
Nomad Sculpt does not collect any personal information on its own, outside of the information that Apple, Google, or Huawei provides to developers. This website uses Google Analytics cookies (_gat, _ga, _gid) to analyze traffic. If users contact Nomad Sculpt via email, their emails will be kept but only utilized to respond to concerns or suggestions.","{label 1: Correct, label 2: Incomplete}"
34,com.jaytronix.markermagic,"{'data_shared': [], 'data_collected': []}","Data Share:
MagicMarker, the Android app developed by Jaytronix, utilizes third party services for displaying advertisements. These services may collect information that can be employed to identify you.
Data Collect:
Currently, MagicMarker does not collect any personal information or user analytics. If this changes in the future, the privacy policy will be revised accordingly and you will be notified.","{label 1: Incorrect, label 2: Incomplete}"
34,com.jaytronix.markermagic,"{'data_shared': [], 'data_collected': []}","Data Share:
MagicMarker, the Android app developed by Jaytronix, utilizes third party services for displaying advertisements. These services may collect information that can be employed to identify you.
Data Collect:
Currently, MagicMarker does not collect any personal information or user analytics. If this changes in the future, the privacy policy will be revised accordingly and you will be notified.","{label 1: Incorrect, label 2: Incomplete}"
35,com.zubieta.craze,"{'data_shared': [], 'data_collected': []}","Data Share:
CraZeApp and MaZeArtApp do not share, access, or process any user's personal information. Any settings related to the applications are device-specific and remain private. Users may be requested to allow access to their photo library for the sole purpose of saving their drawings, but the applications have no access or processing rights to this information.
Data Collect:
CraZeApp and MaZeArtApp do not collect or record any personal data from users. The applications do not require any personal information or additional permissions. For any privacy-related questions, users can reach out to the applications' team at crazeapp@gmail.com.","{label 1: Incorrect, label 2: Complete}"
35,com.zubieta.craze,"{'data_shared': [], 'data_collected': []}","Data Share:
CraZeApp and MaZeArtApp do not share, access, or process any user's personal information. Any settings related to the applications are device-specific and remain private. Users may be requested to allow access to their photo library for the sole purpose of saving their drawings, but the applications have no access or processing rights to this information.
Data Collect:
CraZeApp and MaZeArtApp do not collect or record any personal data from users. The applications do not require any personal information or additional permissions. For any privacy-related questions, users can reach out to the applications' team at crazeapp@gmail.com.","{label 1: Incorrect, label 2: Complete}"
